http://linked.data.gov.au/def/cofog-a/0122#Economic aid routed through international organisations#http://linked.data.gov.au/def/cofog/0122#Economic aid routed through international organizations  (CS)#1
http://linked.data.gov.au/def/cofog-a/0121#Economic aid to developing countries and countries in transition#http://linked.data.gov.au/def/cofog/0121#Economic aid to developing countries and countries in transition  (CS)#0
http://linked.data.gov.au/def/cofog-a/09#Education#http://linked.data.gov.au/def/cofog/09#Education#0
http://linked.data.gov.au/def/cofog-a/09#Education#http://linked.data.gov.au/def/cofog/097#R&D Education#4
http://linked.data.gov.au/def/cofog-a/09#Education#http://linked.data.gov.au/def/cofog/0970#R&D Education  (CS)#4
http://linked.data.gov.au/def/cofog-a/094#Education not definable by level#http://linked.data.gov.au/def/cofog/095#Education not definable by level#0
http://linked.data.gov.au/def/cofog-a/094#Education not definable by level#http://linked.data.gov.au/def/cofog/0950#Education not definable by level  (IS)#0
http://linked.data.gov.au/def/cofog-a/0435#Electricity#http://linked.data.gov.au/def/cofog/0435#Electricity  (CS)#0
http://linked.data.gov.au/def/cofog-a/05#Environmental Protection#http://linked.data.gov.au/def/cofog/05#Environmental protection#0
http://linked.data.gov.au/def/cofog-a/05#Environmental Protection#http://linked.data.gov.au/def/cofog/055#R&D Environmental protection#4
http://linked.data.gov.au/def/cofog-a/05#Environmental Protection#http://linked.data.gov.au/def/cofog/0550#R&D Environmental protection  (CS)#4
http://linked.data.gov.au/def/cofog-a/0111#Executive and legislative organs#http://linked.data.gov.au/def/cofog/0111#Executive and legislative organs  (CS)#0
http://linked.data.gov.au/def/cofog-a/011#Executive and legislative organs,  financial and fiscal affairs, external affairs#http://linked.data.gov.au/def/cofog/011#Executive and legislative organs, financial and fiscal affairs, external affairs#1
http://linked.data.gov.au/def/cofog-a/0113#External affairs#http://linked.data.gov.au/def/cofog/0113#External affairs  (CS)#0
http://linked.data.gov.au/def/cofog-a/103#Family and children#http://linked.data.gov.au/def/cofog/104#Family and children#0
http://linked.data.gov.au/def/cofog-a/103#Family and children#http://linked.data.gov.au/def/cofog/1040#Family and children  (IS)#0
http://linked.data.gov.au/def/cofog-a/1031#Family and children#http://linked.data.gov.au/def/cofog/104#Family and children#0
http://linked.data.gov.au/def/cofog-a/1031#Family and children#http://linked.data.gov.au/def/cofog/1040#Family and children  (IS)#0
http://linked.data.gov.au/def/cofog-a/0112#Financial and fiscal affairs#http://linked.data.gov.au/def/cofog/0112#Financial and fiscal affairs  (CS)#0
http://linked.data.gov.au/def/cofog-a/0322#Fire protection services#http://linked.data.gov.au/def/cofog/032#Fire-protection services#1
http://linked.data.gov.au/def/cofog-a/0322#Fire protection services#http://linked.data.gov.au/def/cofog/0320#Fire-protection services  (CS)#1
http://linked.data.gov.au/def/cofog-a/0423#Fishing and hunting#http://linked.data.gov.au/def/cofog/0423#Fishing and hunting  (CS)#0
http://linked.data.gov.au/def/cofog-a/012#Foreign economic aid#http://linked.data.gov.au/def/cofog/012#Foreign economic aid#0
http://linked.data.gov.au/def/cofog-a/0221#Foreign military aid#http://linked.data.gov.au/def/cofog/023#Foreign military aid#0
http://linked.data.gov.au/def/cofog-a/0221#Foreign military aid#http://linked.data.gov.au/def/cofog/0230#Foreign military aid  (CS)#0
http://linked.data.gov.au/def/cofog-a/022#Foreign military aid#http://linked.data.gov.au/def/cofog/023#Foreign military aid#0
http://linked.data.gov.au/def/cofog-a/022#Foreign military aid#http://linked.data.gov.au/def/cofog/0230#Foreign military aid  (CS)#0
http://linked.data.gov.au/def/cofog-a/0422#Forestry#http://linked.data.gov.au/def/cofog/0422#Forestry  (CS)#0
http://linked.data.gov.au/def/cofog-a/043#Fuel and energy#http://linked.data.gov.au/def/cofog/043#Fuel and energy#0
http://linked.data.gov.au/def/cofog-a/043#Fuel and energy#http://linked.data.gov.au/def/cofog/0483#R&D Fuel and energy  (CS)#4
http://linked.data.gov.au/def/cofog-a/01#General Public Services#http://linked.data.gov.au/def/cofog/01#General public services#0
http://linked.data.gov.au/def/cofog-a/01#General Public Services#http://linked.data.gov.au/def/cofog/015#R&D General public services#4
http://linked.data.gov.au/def/cofog-a/01#General Public Services#http://linked.data.gov.au/def/cofog/0150#R&D General public services  (CS)#4
http://linked.data.gov.au/def/cofog-a/0411#General economic and commercial affairs#http://linked.data.gov.au/def/cofog/0411#General economic and commercial affairs  (CS)#0
http://linked.data.gov.au/def/cofog-a/0731#General hospital services#http://linked.data.gov.au/def/cofog/0731#General hospital services  (IS)#0
http://linked.data.gov.au/def/cofog-a/0412#General labour affairs#http://linked.data.gov.au/def/cofog/0412#General labour affairs  (CS)#0
http://linked.data.gov.au/def/cofog-a/0721#General medical services#http://linked.data.gov.au/def/cofog/0721#General medical services  (IS)#0
http://linked.data.gov.au/def/cofog-a/0131#General personnel services#http://linked.data.gov.au/def/cofog/0131#General personnel services  (CS)#0
http://linked.data.gov.au/def/cofog-a/013#General services#http://linked.data.gov.au/def/cofog/013#General services#0
http://linked.data.gov.au/def/cofog-a/013#General services#http://linked.data.gov.au/def/cofog/0723#Dental services  (IS)#3
http://linked.data.gov.au/def/cofog-a/07#Health#http://linked.data.gov.au/def/cofog/07#Health#0
http://linked.data.gov.au/def/cofog-a/07#Health#http://linked.data.gov.au/def/cofog/075#R&D Health#4
http://linked.data.gov.au/def/cofog-a/07#Health#http://linked.data.gov.au/def/cofog/0750#R&D Health  (CS)#4
http://linked.data.gov.au/def/cofog-a/073#Hospital services#http://linked.data.gov.au/def/cofog/073#Hospital services#0
http://linked.data.gov.au/def/cofog-a/0462#Hotels and restaurants#http://linked.data.gov.au/def/cofog/0472#Hotels and restaurants  (CS)#0
http://linked.data.gov.au/def/cofog-a/105#Housing#http://linked.data.gov.au/def/cofog/106#Housing#0
http://linked.data.gov.au/def/cofog-a/105#Housing#http://linked.data.gov.au/def/cofog/1060#Housing  (IS)#0
http://linked.data.gov.au/def/cofog-a/105#Housing#http://linked.data.gov.au/def/cofog/0473#Tourism  (CS)#4
http://linked.data.gov.au/def/cofog-a/1051#Housing#http://linked.data.gov.au/def/cofog/106#Housing#0
